Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858651738;10;137174129;LF;679010;TECNOCALCHIN SRL;00097079259;BRV8472PWUN SPC PWU COR CT CMQL BG80UKAR;C049;80;ZPB;08/09/2021;679010;TECNOCALCHIN SRL;A131;06/09/2021
858651739;10;137186776;LF;1159304;AGROIDEAS SA;00097079281;BRV8472PWUN C16 PWU COR CT CMQL BG80UKAR;C049;391;ZPB;08/09/2021;10027676;AGROIDEAS SA;A131;06/09/2021
858651906;10;4230335058;ZLC;1361482;MORETO DEPOSITO TERCEROS;00097070891;RFG22RRE SPR ERR COR CT RCMQ BG80UK AR;C049;151;ZPB;04/09/2021;10014053;MORETO DEPOSITO TERCEROS;A131;02/09/2021
858652007;10;4230335070;ZLC;422032;COOPERATIVA AGRARIA TRES;00097029375;NEXT 22.6PWE C19 PWE COR RCMQ BG80UK AR;C049;42;ZPB;09/09/2021;422032;COOPERATIVA AGRARIA TRES;A131;01/09/2021
858652031;10;137151868;LF;348767;SUMIDAS JV S.A.;00097079257;BRV8472PWUN R18 PWU COR CT CMQL BG80UKAR;C049;12;ZPB;06/09/2021;2068241;SUMIDAS JV S.A.;A131;02/09/2021
858652047;10;137160573;LF;421728;AGRONORT SA;00097079257;BRV8472PWUN R18 PWU COR CT CMQL BG80UKAR;C049;200;ZPB;06/09/2021;421728;AGRONORT SA;A131;02/09/2021
858652093;10;4230335098;ZLC;711987;MORERO Y CIA SACIAI Y F;00000113042;TORDOND30 PAILST20L ARG;C077;300,000;L;10/09/2021;2303034;MORERO Y CIA SACIAI Y F;A131;09/09/2021
858652095;10;4230335099;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;500,280;L;06/09/2021;10001585;MARTINEZ Y VALDIVIESO SA;A133;02/09/2021
858652096;10;4230335100;ZLC;1464822;MARTINEZ Y VALDIVIESO;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;500,280;L;06/09/2021;10001426;MARTINEZ Y VALDIVIESO;A133;02/09/2021
858652113;10;4230332084;ZLC;421728;AGRONORT SA;00097071074;510PWU R20 PWU COR CT CMQL BG80UK AR;C344;108;ZPB;15/09/2021;421728;AGRONORT SA;A131;14/09/2021
858652130;10;137127441;LF;1693739;VETAGRO SRL;00097079256;BRV8472PWU R17 PWU COR CT CMQL BG80UK AR;C049;38;ZPB;07/09/2021;1693739;VETAGRO SRL;A131;01/09/2021
858652159;10;4230335111;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;303,200;L;09/09/2021;10000968;MARTINEZ Y VALDIVIESO SA;A133;02/09/2021
858652160;10;137216438;LF;421706;AGROEMPRESA COLON SA;00097071074;510PWU R20 PWU COR CT CMQL BG80UK AR;C344;50;ZPB;02/09/2021;421706;AGROEMPRESA COLON SA;A131;01/09/2021
858652162;10;4230332338;ZLC;1108872;AGRO LAJITAS SA;00097071074;510PWU R20 PWU COR CT CMQL BG80UK AR;C344;234;ZPB;20/09/2021;1843011;AGRO LAJITAS SA;A131;13/09/2021
858652185;10;137139638;LF;1077555;NORTE FERTIL SRL;00097079283;BRV8472PWU C18 PWU COR CT CMQL BG80UK AR;C049;67;ZPB;04/09/2021;1077555;NORTE FERTIL SRL;A131;01/09/2021
858652186;10;137243816;LF;430370;TATTERSALL AGROINSUMOS SA;00000317158;STARANEXTRA BTLCOX12X1L CHL;L026;96,000;L;07/09/2021;10007224;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652187;10;137148558;LF;421706;AGROEMPRESA COLON SA;00097079257;BRV8472PWUN R18 PWU COR CT CMQL BG80UKAR;C049;177;ZPB;06/09/2021;421706;AGROEMPRESA COLON SA;A131;02/09/2021
858652188;10;137243858;LF;430370;TATTERSALL AGROINSUMOS SA;00097056060;MATRIX BTLHPE10X0.1KG CHL;L026;717,000;KG;07/09/2021;10000967;TATTERSALL AGROINSUMOS SA;A133;02/09/2021
858652189;10;137150240;LF;422082;DISTRIBUIDORA ROYJO SRL;00097079257;BRV8472PWUN R18 PWU COR CT CMQL BG80UKAR;C049;176;ZPB;06/09/2021;2245367;DISTRIBUIDORA ROYJO SRL;A131;02/09/2021
858652191;10;137160546;LF;421706;AGROEMPRESA COLON SA;00097079257;BRV8472PWUN R18 PWU COR CT CMQL BG80UKAR;C049;80;ZPB;07/09/2021;421706;AGROEMPRESA COLON SA;A131;03/09/2021
858652219;10;137241987;LF;10004381;GRINAAR SRL;00011097385;EXPEDITION BTLCOX4X5L ARG;C077;1.000,000;L;07/09/2021;10004416;GRINAAR SRL;A131;06/09/2021
858652266;10;4230335117;ZLC;1464822;MARTINEZ Y VALDIVIESO;00000114811;LONTREL3A BTLPE4X1GL CHL;L026;985,400;L;06/09/2021;10001426;MARTINEZ Y VALDIVIESO;A133;02/09/2021
858652278;10;137223079;LF;2344675;CERROS SERV AGRICOLAS SA;00097029365;NEXT 22.6PWU C19 PWU COR RCMQ BG80UK AR;C344;660;ZPB;26/08/2021;2408421;CERROS SERV AGRICOLAS SA;A131;25/08/2021
858652279;10;4230334326;ZLC;2344675;CERROS SERV AGRICOLAS SA;00097070887;RFG22RRE R19 ERR COR CT RCMQ BG80UK AR;C049;115;ZPB;30/08/2021;2408421;CERROS SERV AGRICOLAS SA;A131;27/08/2021
